Date,Hour,MCP (Rs/MWh)
01-09-2023,1,10000
01-09-2023,1,10000
01-09-2023,1,10000
01-09-2023,1,10000
01-09-2023,2,10000
01-09-2023,2,10000
01-09-2023,2,10000
01-09-2023,2,10000
01-09-2023,3,10000
01-09-2023,3,10000
01-09-2023,3,10000
01-09-2023,3,10000
01-09-2023,4,10000
01-09-2023,4,10000
01-09-2023,4,10000
01-09-2023,4,10000
01-09-2023,5,10000
01-09-2023,5,10000
01-09-2023,5,10000
01-09-2023,5,10000
01-09-2023,6,10000
01-09-2023,6,10000
01-09-2023,6,10000
01-09-2023,6,10000
01-09-2023,7,10000
01-09-2023,7,10000
01-09-2023,7,10000
01-09-2023,7,10000
01-09-2023,8,10000
01-09-2023,8,10000
01-09-2023,8,10000
01-09-2023,8,10000
01-09-2023,9,10000
01-09-2023,9,10000
01-09-2023,9,10000
01-09-2023,9,10000
01-09-2023,10,10000
01-09-2023,10,10000
01-09-2023,10,10000
01-09-2023,10,10000
01-09-2023,11,10000
01-09-2023,11,10000
01-09-2023,11,10000
01-09-2023,11,10000
01-09-2023,12,10000
01-09-2023,12,10000
01-09-2023,12,10000
01-09-2023,12,10000
01-09-2023,13,10000
01-09-2023,13,10000
01-09-2023,13,10000
01-09-2023,13,10000
01-09-2023,14,10000
01-09-2023,14,10000
01-09-2023,14,10000
01-09-2023,14,10000
01-09-2023,15,10000
01-09-2023,15,10000
01-09-2023,15,10000
01-09-2023,15,10000
01-09-2023,16,10000
01-09-2023,16,10000
01-09-2023,16,10000
01-09-2023,16,10000
01-09-2023,17,10000
01-09-2023,17,10000
01-09-2023,17,10000
01-09-2023,17,10000
01-09-2023,18,10000
01-09-2023,18,10000
01-09-2023,18,10000
01-09-2023,18,10000
01-09-2023,19,10000
01-09-2023,19,10000
01-09-2023,19,10000
01-09-2023,19,10000
01-09-2023,20,10000
01-09-2023,20,10000
01-09-2023,20,10000
01-09-2023,20,10000
01-09-2023,21,10000
01-09-2023,21,10000
01-09-2023,21,10000
01-09-2023,21,10000
01-09-2023,22,10000
01-09-2023,22,10000
01-09-2023,22,10000
01-09-2023,22,10000
01-09-2023,23,10000
01-09-2023,23,10000
01-09-2023,23,10000
01-09-2023,23,10000
01-09-2023,24,10000
01-09-2023,24,10000
01-09-2023,24,10000
01-09-2023,24,10000
02-09-2023,1,10000
02-09-2023,1,10000
02-09-2023,1,10000
02-09-2023,1,10000
02-09-2023,2,10000
02-09-2023,2,10000
02-09-2023,2,10000
02-09-2023,2,10000
02-09-2023,3,10000
02-09-2023,3,10000
02-09-2023,3,10000
02-09-2023,3,10000
02-09-2023,4,10000
02-09-2023,4,10000
02-09-2023,4,10000
02-09-2023,4,10000
02-09-2023,5,10000
02-09-2023,5,10000
02-09-2023,5,10000
02-09-2023,5,10000
02-09-2023,6,10000
02-09-2023,6,10000
02-09-2023,6,10000
02-09-2023,6,10000
02-09-2023,7,10000
02-09-2023,7,10000
02-09-2023,7,10000
02-09-2023,7,10000
02-09-2023,8,10000
02-09-2023,8,10000
02-09-2023,8,10000
02-09-2023,8,10000
02-09-2023,9,10000
02-09-2023,9,10000
02-09-2023,9,10000
02-09-2023,9,10000
02-09-2023,10,10000
02-09-2023,10,10000
02-09-2023,10,10000
02-09-2023,10,10000
02-09-2023,11,10000
02-09-2023,11,10000
02-09-2023,11,10000
02-09-2023,11,10000
02-09-2023,12,10000
02-09-2023,12,10000
02-09-2023,12,10000
02-09-2023,12,10000
02-09-2023,13,10000
02-09-2023,13,10000
02-09-2023,13,10000
02-09-2023,13,10000
02-09-2023,14,10000
02-09-2023,14,10000
02-09-2023,14,10000
02-09-2023,14,10000
02-09-2023,15,10000
02-09-2023,15,10000
02-09-2023,15,10000
02-09-2023,15,10000
02-09-2023,16,10000
02-09-2023,16,10000
02-09-2023,16,10000
02-09-2023,16,10000
02-09-2023,17,10000
02-09-2023,17,10000
02-09-2023,17,10000
02-09-2023,17,10000
02-09-2023,18,10000
02-09-2023,18,10000
02-09-2023,18,10000
02-09-2023,18,10000
02-09-2023,19,10000
02-09-2023,19,10000
02-09-2023,19,10000
02-09-2023,19,10000
02-09-2023,20,10000
02-09-2023,20,10000
02-09-2023,20,10000
02-09-2023,20,10000
02-09-2023,21,10000
02-09-2023,21,10000
02-09-2023,21,10000
